nw time nodes chromosome iteration
1 507265 2000 20000 10
2 278189 2000 20000 10
3 185741 2000 20000 10
4 140081 2000 20000 10
5 112752 2000 20000 10
6 95493 2000 20000 10
7 82794 2000 20000 10
8 71512 2000 20000 10
9 64679 2000 20000 10
10 58757 2000 20000 10
11 54585 2000 20000 10
12 50074 2000 20000 10
13 46211 2000 20000 10
14 43333 2000 20000 10
15 41323 2000 20000 10
16 39302 2000 20000 10
17 40782 2000 20000 10
18 36635 2000 20000 10
19 34613 2000 20000 10
20 33265 2000 20000 10
21 32202 2000 20000 10
22 30280 2000 20000 10
23 29799 2000 20000 10
24 29036 2000 20000 10
25 28320 2000 20000 10
26 27246 2000 20000 10
27 26190 2000 20000 10
28 25791 2000 20000 10
29 24934 2000 20000 10
30 24617 2000 20000 10
31 23693 2000 20000 10
32 23571 2000 20000 10
33 22509 2000 20000 10
34 23115 2000 20000 10
35 22231 2000 20000 10
36 21725 2000 20000 10
37 21106 2000 20000 10
38 21124 2000 20000 10
39 21447 2000 20000 10
40 20253 2000 20000 10
41 19793 2000 20000 10
42 19725 2000 20000 10
43 20518 2000 20000 10
44 20260 2000 20000 10
45 19192 2000 20000 10
46 20399 2000 20000 10
47 18272 2000 20000 10
48 17702 2000 20000 10
49 17670 2000 20000 10
50 17423 2000 20000 10
51 17206 2000 20000 10
52 17217 2000 20000 10
53 17220 2000 20000 10
54 16695 2000 20000 10
55 16307 2000 20000 10
56 16265 2000 20000 10
57 17133 2000 20000 10
58 15942 2000 20000 10
59 15925 2000 20000 10
60 15768 2000 20000 10
61 16113 2000 20000 10
62 15601 2000 20000 10
63 15342 2000 20000 10
64 15434 2000 20000 10
65 16907 2000 20000 10
66 15748 2000 20000 10
67 16698 2000 20000 10
68 15981 2000 20000 10
69 16089 2000 20000 10
70 15986 2000 20000 10
71 15773 2000 20000 10
72 15744 2000 20000 10
73 15553 2000 20000 10
74 15176 2000 20000 10
75 15112 2000 20000 10
76 14950 2000 20000 10
77 14814 2000 20000 10
78 14774 2000 20000 10
79 14942 2000 20000 10
80 14713 2000 20000 10
81 15189 2000 20000 10
82 14458 2000 20000 10
83 15072 2000 20000 10
84 14165 2000 20000 10
85 14472 2000 20000 10
86 14170 2000 20000 10
87 14638 2000 20000 10
88 14087 2000 20000 10
89 14075 2000 20000 10
90 13960 2000 20000 10
91 13940 2000 20000 10
92 13774 2000 20000 10
