nw time nodes chromosome iteration
1 83759 500 20000 10
2 39263 500 20000 10
3 37862 500 20000 10
4 25759 500 20000 10
5 16411 500 20000 10
6 13864 500 20000 10
7 11474 500 20000 10
8 10565 500 20000 10
9 9204 500 20000 10
10 8487 500 20000 10
11 7897 500 20000 10
12 8264 500 20000 10
13 7975 500 20000 10
14 7676 500 20000 10
15 6545 500 20000 10
16 6566 500 20000 10
17 6400 500 20000 10
18 5775 500 20000 10
19 7342 500 20000 10
20 7562 500 20000 10
21 7269 500 20000 10
22 7122 500 20000 10
23 6936 500 20000 10
24 6624 500 20000 10
25 6834 500 20000 10
26 9492 500 20000 10
27 9625 500 20000 10
28 6582 500 20000 10
29 4049 500 20000 10
30 3682 500 20000 10
31 3936 500 20000 10
32 4166 500 20000 10
33 4010 500 20000 10
34 3905 500 20000 10
35 3907 500 20000 10
36 3856 500 20000 10
37 3798 500 20000 10
38 3756 500 20000 10
39 3706 500 20000 10
40 3615 500 20000 10
41 3639 500 20000 10
42 3622 500 20000 10
43 3606 500 20000 10
44 3469 500 20000 10
45 3384 500 20000 10
46 3350 500 20000 10
47 3322 500 20000 10
48 3235 500 20000 10
49 3227 500 20000 10
50 3180 500 20000 10
51 3092 500 20000 10
52 3111 500 20000 10
53 3092 500 20000 10
54 3141 500 20000 10
55 3204 500 20000 10
56 3078 500 20000 10
57 3045 500 20000 10
58 2983 500 20000 10
59 2995 500 20000 10
60 2983 500 20000 10
61 2975 500 20000 10
62 3005 500 20000 10
63 3193 500 20000 10
64 3309 500 20000 10
65 3255 500 20000 10
66 3250 500 20000 10
67 3200 500 20000 10
68 3158 500 20000 10
69 3157 500 20000 10
70 3101 500 20000 10
71 3113 500 20000 10
72 3101 500 20000 10
73 3055 500 20000 10
74 3041 500 20000 10
75 2999 500 20000 10
76 3013 500 20000 10
77 3159 500 20000 10
78 3006 500 20000 10
79 2950 500 20000 10
80 2969 500 20000 10
81 2955 500 20000 10
82 2965 500 20000 10
83 2907 500 20000 10
84 3152 500 20000 10
85 3394 500 20000 10
86 3576 500 20000 10
87 3557 500 20000 10
88 3595 500 20000 10
89 3598 500 20000 10
90 3550 500 20000 10
91 3712 500 20000 10
92 3674 500 20000 10
93 3582 500 20000 10
94 3694 500 20000 10
95 3672 500 20000 10
96 3751 500 20000 10
97 3650 500 20000 10
98 3599 500 20000 10
99 3776 500 20000 10
100 3762 500 20000 10
101 3552 500 20000 10
102 3486 500 20000 10
103 3371 500 20000 10
104 3333 500 20000 10
105 3401 500 20000 10
106 3429 500 20000 10
107 3289 500 20000 10
108 3330 500 20000 10
109 3467 500 20000 10
110 3279 500 20000 10
111 3248 500 20000 10
112 3300 500 20000 10
113 3494 500 20000 10
114 3704 500 20000 10
115 3906 500 20000 10
116 3828 500 20000 10
117 4289 500 20000 10
118 4188 500 20000 10
119 4147 500 20000 10
120 4162 500 20000 10
121 3172 500 20000 10
122 3336 500 20000 10
123 4241 500 20000 10
124 4340 500 20000 10
125 3609 500 20000 10
126 3379 500 20000 10
127 3961 500 20000 10
128 4869 500 20000 10
129 4873 500 20000 10
130 4819 500 20000 10
131 5057 500 20000 10
132 5460 500 20000 10
133 5670 500 20000 10
134 5187 500 20000 10
135 5031 500 20000 10
136 4873 500 20000 10
137 4897 500 20000 10
138 5001 500 20000 10
139 4950 500 20000 10
140 4944 500 20000 10
141 4850 500 20000 10
142 4713 500 20000 10
143 5055 500 20000 10
144 4802 500 20000 10
145 4797 500 20000 10
146 4547 500 20000 10
147 5009 500 20000 10
148 4923 500 20000 10
149 4695 500 20000 10
150 4705 500 20000 10
151 4474 500 20000 10
152 4807 500 20000 10
153 4455 500 20000 10
154 4554 500 20000 10
155 4484 500 20000 10
156 4417 500 20000 10
157 4752 500 20000 10
158 4539 500 20000 10
159 4605 500 20000 10
160 5271 500 20000 10
161 5019 500 20000 10
162 4502 500 20000 10
163 4717 500 20000 10
164 4630 500 20000 10
165 4605 500 20000 10
166 4557 500 20000 10
167 4622 500 20000 10
168 4710 500 20000 10
169 4636 500 20000 10
170 4400 500 20000 10
171 4975 500 20000 10
172 4475 500 20000 10
173 4242 500 20000 10
174 4156 500 20000 10
175 4233 500 20000 10
176 4343 500 20000 10
177 4401 500 20000 10
178 4235 500 20000 10
179 4178 500 20000 10
180 4203 500 20000 10
181 4182 500 20000 10
182 4274 500 20000 10
183 4444 500 20000 10
184 4413 500 20000 10
185 4222 500 20000 10
186 4130 500 20000 10
187 4332 500 20000 10
188 4254 500 20000 10
189 4011 500 20000 10
190 4134 500 20000 10
191 4142 500 20000 10
192 4296 500 20000 10
193 4168 500 20000 10
194 4508 500 20000 10
195 4476 500 20000 10
196 3928 500 20000 10
197 4174 500 20000 10
198 4288 500 20000 10
199 4217 500 20000 10
200 3989 500 20000 10
201 4193 500 20000 10
202 4101 500 20000 10
203 4062 500 20000 10
204 4330 500 20000 10
205 4224 500 20000 10
206 4131 500 20000 10
207 4000 500 20000 10
208 4119 500 20000 10
209 4338 500 20000 10
210 4051 500 20000 10
211 4054 500 20000 10
212 4024 500 20000 10
213 3974 500 20000 10
214 3951 500 20000 10
215 4011 500 20000 10
216 4030 500 20000 10
217 4035 500 20000 10
218 3927 500 20000 10
219 4197 500 20000 10
220 3987 500 20000 10
221 3785 500 20000 10
222 4112 500 20000 10
223 3971 500 20000 10
224 4256 500 20000 10
225 4133 500 20000 10
226 4027 500 20000 10
227 3866 500 20000 10
228 4022 500 20000 10
229 3948 500 20000 10
230 3917 500 20000 10
231 3952 500 20000 10
232 4049 500 20000 10
233 3885 500 20000 10
234 3946 500 20000 10
235 4251 500 20000 10
236 3735 500 20000 10
237 4249 500 20000 10
238 3781 500 20000 10
239 3882 500 20000 10
240 3988 500 20000 10
241 3914 500 20000 10
242 3930 500 20000 10
243 4037 500 20000 10
244 4012 500 20000 10
245 3900 500 20000 10
246 3887 500 20000 10
247 3883 500 20000 10
248 3815 500 20000 10
249 4144 500 20000 10
250 3803 500 20000 10
